Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_0150,545,19.4,V-twin,83.5,52.9,12V DC,1.101,Flathead,2,22.7,27.301,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0151,241,4.2,4-stroke,65.101,48.002,Alternator,0.401,Flathead,1,26.603,31.4,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0152,100,12.4,V-twin,57.9,56.501,12V DC,1.021,DOHC,1,49.5,27.7,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0153,367,12.4,4-stroke,65.2,61.901,None,2.25,Flathead,1,47.1,29.901,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0154,150,20.5,V-twin,72.1,62.002,Alternator,2.161,DOHC,1,22.8,28.201,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0155,266,10.3,V-twin,70.5,62.6,None,0.653,DOHC,1,39.6,22.901,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0156,201,15.6,4-stroke,75.701,55.402,None,1.88,Flathead,1,53.7,22.401,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0157,190,13.4,2-stroke,70.601,54,12V DC,2.441,Flathead,1,23.2,29.102,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0158,636,20.3,4-stroke,71,73.901,12V DC,0.84,DOHC,2,64.5,18.9,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0159,626,16,OHV,63.601,73.1,None,1.361,DOHC,2,55.3,21.4,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0160,502,14.1,OHV,76.301,51.501,None,1.071,DOHC,1,23.8,19.8,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0161,126,22.9,V-twin,56.601,67.5,12V DC,2.361,DOHC,1,46.8,32.201,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0162,461,22.5,OHV,60.5,64.5,Alternator,1.45,DOHC,1,15.601,21.501,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0163,209,3.4,4-stroke,60.9,72.2,Alternator,2.431,OHV,2,55.9,30.102,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0164,549,12.5,4-stroke,64.401,61.102,Alternator,2.381,OHV,2,8,30.103,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0165,527,21.8,V-twin,83.8,71.2,None,0.541,OHV,1,19,31.401,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0166,170,14.1,4-stroke,58.5,50.3,Alternator,2.45,Flathead,1,29,26.801,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0167,77,24.8,4-stroke,79.4,45.901,None,1.551,Flathead,2,26,21.901,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0168,244,2.5,4-stroke,83.2,66.001,None,0.66,DOHC,2,33.1,31.6,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0169,535,5.1,2-stroke,80.2,74.8,None,0.87,Flathead,1,28,32.6,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0170,96,22.2,2-stroke,77.9,51.001,Alternator,0.85,Flathead,1,8.001,26.002,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0171,205,8.6,V-twin,65.102,69.001,Alternator,0.741,Flathead,2,63.3,20.9,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0172,272,5.1,2-stroke,82.001,66.002,12V DC,0.432,Flathead,2,45.7,29.902,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0173,592,12.7,V-twin,66.6,65.1,12V DC,2.001,OHV,2,32.9,25.3,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0174,383,23.7,2-stroke,57.901,74.402,Alternator,1.451,Flathead,2,40.301,24.901,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0175,329,14.9,4-stroke,57.8,59.9,Alternator,1.331,Flathead,1,13.6,24.102,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0176,80,22.5,V-twin,68.1,71.801,Alternator,1.6,DOHC,1,27.4,20.201,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0177,491,16.6,4-stroke,63,73.201,None,2.01,DOHC,1,55.4,32.9,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0178,693,15.5,OHV,62,65.101,Alternator,0.621,OHV,2,25.402,27.302,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0179,153,5.7,4-stroke,57.7,71.802,None,1.881,Flathead,2,65.601,28.901,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0180,363,8.1,OHV,75.102,71.201,None,0.591,Flathead,1,60.3,33.402,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0181,180,7.5,2-stroke,57.2,60.001,Alternator,1.61,OHV,2,58.501,27.303,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0182,691,13.2,OHV,72.001,50.501,Alternator,0.381,DOHC,2,42.4,21.001,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0183,316,9.6,V-twin,77.601,57.7,Alternator,1.27,OHV,2,69.9,26.501,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0184,340,14.2,V-twin,61.9,58.002,12V DC,0.78,Flathead,2,55.301,32.5,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0185,167,6.4,2-stroke,76.4,67.801,None,1.902,Flathead,1,54.3,34.401,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0186,562,12.5,2-stroke,81.9,62.2,None,1.842,DOHC,1,62.8,23.9,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0187,441,22.6,2-stroke,60.501,72.3,Alternator,1.47,DOHC,2,26.7,20.901,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0188,334,22.1,2-stroke,66.9,52.8,None,0.712,OHV,2,13.3,20.302,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0189,647,7.1,OHV,80.7,46.9,None,2.12,Flathead,2,24.9,27.4,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0190,654,10.4,OHV,84.6,64.101,None,1.411,Flathead,1,65.7,32,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0191,650,13.2,V-twin,79.9,70.1,None,1.57,Flathead,2,62.9,31,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0192,516,14,2-stroke,74.9,58.2,None,2.02,Flathead,2,61.3,26.003,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0193,93,18.5,V-twin,78.1,61.8,Alternator,1.652,OHV,1,13.1,21.902,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0194,278,13.4,OHV,57.801,65.601,12V DC,0.731,OHV,1,8.7,21.8,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0195,595,10.7,4-stroke,67.2,62.3,12V DC,0.991,Flathead,2,37.4,26.502,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0196,649,13.1,4-stroke,76.802,74.2,None,1.903,DOHC,2,52.301,23.202,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0197,245,14.2,V-twin,68.101,69.5,None,0.661,DOHC,1,18.5,20.1,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0198,391,16.8,V-twin,59.2,49.3,Alternator,0.312,Flathead,2,15.1,25.9,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0199,694,19.6,V-twin,66.8,57.701,12V DC,1.221,DOHC,2,28.001,20.5,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0200,226,16.8,2-stroke,68.3,58.9,Alternator,2.18,Flathead,1,42.8,18.802,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0201,370,13.1,OHV,71.802,69.6,12V DC,1.142,OHV,1,49.601,26.1,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0202,95,24.2,2-stroke,60.1,49.9,12V DC,2.442,OHV,1,69.2,20.501,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0203,286,7.4,V-twin,83.4,61.801,12V DC,1.081,OHV,2,36.8,28.6,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0204,128,10.9,OHV,56.2,63.3,None,1.571,OHV,1,53.2,31.3,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0205,409,9.5,2-stroke,83,74.403,Alternator,0.61,Flathead,1,56.9,29.8,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0206,58,13.9,4-stroke,63.501,53.801,Alternator,1.102,Flathead,1,41.9,20.6,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0207,394,20.7,4-stroke,74.501,56,Alternator,1.511,Flathead,1,33.9,31.9,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0208,440,22.6,2-stroke,84.9,57.1,Alternator,1.64,OHV,1,50.9,25.001,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0209,125,14.3,2-stroke,61.101,61.2,Alternator,1.271,DOHC,2,50.501,28,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0210,280,4.6,V-twin,82.4,71,None,1.611,OHV,1,21.5,29.801,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0211,319,10.5,V-twin,57.701,55.801,12V DC,0.841,OHV,1,47.401,27.601,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0212,442,3.7,2-stroke,74.901,58.901,Alternator,1.653,DOHC,1,60.1,33.901,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0213,162,14.9,V-twin,57.603,71.001,12V DC,2.061,Flathead,1,16.901,34.7,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0214,95,3.8,V-twin,84.7,68.501,12V DC,0.35,OHV,2,29.1,29.5,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0215,580,13.4,4-stroke,78.8,63.801,None,0.542,Flathead,1,44.9,22.803,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0216,85,23.5,2-stroke,79.401,55.1,Alternator,0.351,OHV,1,50.3,20.801,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0217,142,14.7,2-stroke,84.102,71.6,None,0.691,Flathead,1,37.1,30.802,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0218,614,4.9,V-twin,80.301,60.602,Alternator,1.222,DOHC,1,9.4,23.203,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0219,56,5.7,2-stroke,83.801,58.201,Alternator,0.961,DOHC,1,39.1,22.6,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0220,134,22.3,4-stroke,78.701,69.1,None,2.382,Flathead,1,44.801,29.202,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0221,407,4.3,2-stroke,85,52.302,None,2.002,OHV,1,35.7,20.502,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0222,454,22.9,OHV,55.3,53.601,None,0.313,OHV,2,23,20.902,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0223,573,24.8,4-stroke,58.801,55.802,12V DC,2.3,DOHC,1,12.4,28.202,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0224,121,18.6,OHV,68.002,53.902,12V DC,0.53,OHV,2,37.3,30.902,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0225,221,22.8,OHV,76.901,58.003,12V DC,2.17,OHV,1,59.4,19.4,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0226,589,22.4,V-twin,84.701,61.6,Alternator,2.04,Flathead,1,44.802,31.301,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0227,670,12.4,4-stroke,69.6,74.002,None,1.282,OHV,2,43.3,29,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0228,489,12.4,V-twin,56.902,50.202,12V DC,1.32,OHV,2,35.701,23.3,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0229,354,3.9,V-twin,66.2,47.4,Alternator,2.383,OHV,1,54.6,31.001,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0230,146,12.4,OHV,56.903,66.5,None,1.641,Flathead,1,42.9,33.902,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0231,590,7.4,OHV,55.5,47,None,0.771,OHV,1,55.101,30.104,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0232,680,2.7,2-stroke,55.6,73,Alternator,2.362,DOHC,2,14.701,21.903,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0233,181,15.7,OHV,57.604,59.8,12V DC,1.76,Flathead,2,24.5,27.101,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0234,415,11.7,4-stroke,80.6,71.101,None,1.871,Flathead,2,49.401,32.001,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0235,179,16.8,4-stroke,63.8,68.3,None,0.721,Flathead,2,31.401,20.202,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0236,136,24.1,V-twin,77.101,71.202,Alternator,1.512,DOHC,2,59.3,24.002,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0237,175,16.3,2-stroke,79,60.402,12V DC,1.79,OHV,1,40.6,31.801,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0238,237,7.8,V-twin,79.001,63.301,None,0.602,OHV,1,16.801,24.6,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0239,138,10,OHV,73.001,62.301,Alternator,1.513,DOHC,1,65.602,20.101,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0240,310,23.8,V-twin,83.802,63.5,Alternator,1.77,DOHC,2,31.102,20.303,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0241,454,5.1,2-stroke,59.4,61.401,Alternator,0.752,OHV,2,11.5,18.1,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0242,439,3.8,2-stroke,72.5,45.101,Alternator,1.821,OHV,1,52,27.602,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0243,336,14.7,V-twin,69.3,49.103,12V DC,1.981,Flathead,2,22.2,18.803,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0244,588,5.5,2-stroke,74.502,59.901,12V DC,1.152,DOHC,2,52.4,33.903,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0245,460,7,OHV,65.201,68.701,None,0.611,DOHC,1,23.6,20,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0246,259,20.9,V-twin,64.603,55.101,12V DC,2.181,Flathead,1,54.2,33.302,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0247,143,23.2,4-stroke,84.8,53.4,None,0.742,Flathead,2,50.301,24.902,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0248,369,23.4,4-stroke,72.2,55.3,Alternator,0.34,DOHC,2,66,20.402,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0249,667,17,4-stroke,83.702,48.502,12V DC,2.07,DOHC,1,37.7,33.801,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0250,488,19.1,OHV,69.401,57.9,Alternator,0.64,DOHC,2,12.202,25.202,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0251,76,3.7,OHV,63.3,60.603,12V DC,1.031,OHV,2,56.901,28.301,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0252,536,21.8,4-stroke,78.6,68.6,Alternator,1.09,Flathead,1,61.4,20.503,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0253,561,20.3,4-stroke,72.4,52.7,12V DC,0.842,DOHC,2,27.8,20.903,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0254,464,20.6,V-twin,61.7,55.403,Alternator,2.251,Flathead,2,60.6,31.202,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0255,350,4.6,4-stroke,65.7,59.902,Alternator,2.47,OHV,2,28.5,33.2,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0256,636,21.9,2-stroke,77.4,58.3,None,1.24,OHV,2,69,21.904,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0257,149,23.1,4-stroke,66.801,47.901,Alternator,0.801,DOHC,2,44.901,23.501,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0258,482,20,2-stroke,55.2,73.902,Alternator,1.5,OHV,2,16.902,27.9,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0259,415,11.9,4-stroke,83.201,67.802,None,1.082,OHV,1,24.2,24.103,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0260,253,17.3,2-stroke,74.6,54.1,12V DC,1.771,DOHC,1,47.402,31.002,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0261,649,4.4,V-twin,84.2,62.801,12V DC,0.81,OHV,1,62.301,26.503,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0262,328,2.9,OHV,84.103,56.4,None,1.391,Flathead,1,65.4,24.3,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0263,339,9.6,2-stroke,72.002,61.601,12V DC,0.811,OHV,2,16.1,28.601,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0264,413,15.5,OHV,65.3,56.902,None,2.252,Flathead,2,36.801,30.105,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0265,100,14.6,OHV,60.701,63.302,None,2.24,Flathead,2,18.8,20.001,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0266,534,5.3,2-stroke,59.6,54.2,None,0.55,DOHC,1,65.8,26.004,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0267,244,23.4,4-stroke,79.802,54.302,12V DC,0.681,OHV,2,16.802,26.101,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0268,208,18.2,4-stroke,56.501,69.501,12V DC,2.021,Flathead,1,18.501,33.403,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0269,239,16.1,2-stroke,81.801,58.202,Alternator,2.05,DOHC,1,14.5,25.501,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0270,619,23.1,OHV,68.6,66.9,12V DC,1.843,DOHC,2,19.7,20.203,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0271,471,13.8,4-stroke,56.201,45.4,12V DC,2.13,DOHC,2,19.4,29.402,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0272,500,21.9,4-stroke,61.6,67.7,Alternator,0.331,DOHC,2,47.6,24.4,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0273,286,4,V-twin,56.202,53,None,2.391,Flathead,1,17,28.902,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0274,634,7.9,V-twin,59.702,69.301,Alternator,1.66,Flathead,1,28.4,20.7,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0275,355,13.4,V-twin,59.8,71.002,None,1.362,Flathead,1,69.4,24.003,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0276,320,18.2,2-stroke,66.101,69.502,12V DC,0.95,OHV,2,51.4,24.601,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0277,463,4.6,2-stroke,59.301,59.1,12V DC,0.753,OHV,1,29.2,26.005,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0278,84,23.3,OHV,82.902,46,Alternator,0.951,OHV,2,54.601,24.004,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0279,261,16,2-stroke,58.601,45.3,None,1.691,DOHC,2,37,19.301,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0280,351,22.2,2-stroke,75.9,69.002,12V DC,1.791,DOHC,2,12.3,29.802,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0281,667,15.4,OHV,58.602,59.3,12V DC,2.022,OHV,1,29.001,28.602,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0282,547,2.2,4-stroke,68.7,48.1,Alternator,1.872,Flathead,2,34.9,20.403,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0283,74,14.3,OHV,67.001,71.803,None,0.531,DOHC,1,32.201,34.6,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0284,304,24.3,OHV,62.201,50.102,None,0.82,DOHC,1,55.102,19.101,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0285,669,13.9,OHV,69.402,48.503,Alternator,2.29,OHV,2,54.201,29.6,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0286,119,9.8,OHV,72.003,58.1,Alternator,1.52,DOHC,1,27.3,23.6,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0287,559,3.9,4-stroke,56.904,72.7,12V DC,1.01,DOHC,1,14.702,31.601,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0288,611,20.4,4-stroke,56.502,60.7,None,1.43,OHV,2,45.4,18.4,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0289,172,21.7,2-stroke,82.8,58.902,12V DC,0.743,OHV,2,37.401,30.401,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0290,388,24.1,OHV,74.601,58.4,Alternator,0.543,Flathead,1,42.5,20.102,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0291,325,12.9,4-stroke,61.901,48.901,Alternator,1.612,DOHC,1,50.901,18.301,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0292,466,6.2,V-twin,77.8,59.2,12V DC,0.361,Flathead,1,58.1,24.5,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0293,448,14.7,4-stroke,62.202,52.2,12V DC,1.531,Flathead,2,43.1,28.801,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0294,137,18.2,V-twin,65.5,57.201,None,0.433,OHV,2,67.801,20.103,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0295,590,20.1,2-stroke,64.604,46.7,None,1.94,OHV,1,56.6,27.603,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0296,149,12.1,OHV,57.201,52.6,12V DC,1.62,DOHC,2,20.4,24.701,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0297,659,15.4,V-twin,74.602,51.4,Alternator,0.713,OHV,1,13.8,20.002,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0298,171,4.3,V-twin,57,57.901,Alternator,2.461,OHV,1,42.101,19.9,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0299,278,3.2,V-twin,66.802,56.903,Alternator,0.962,OHV,1,30.7,24.201,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
